impression_event_id,query_id,search_event_id,user_id,session_id,event_ts,search_mode,merchant_id,merchant_name,rank_position,base_rank_score,final_rank_score,distance_km,route_distance_proxy,detour_proxy,reason_tags
imp_evt_00001,nearby_q_001,search_evt_0001,user_001,session_001_01,2026-03-22T09:00:02+00:00,nearby,ChIJkaXsi8ovdTERV9vqRTJPqNQ,Storedetailing,1,0.664757,0.669397,0.7702169038104405,,,very_close|popular|trusted|open_now|detailing|car_supported
imp_evt_00002,nearby_q_001,search_evt_0001,user_001,session_001_01,2026-03-22T09:00:04+00:00,nearby,ChIJR49LHcItdTERIiTJj8DLsa0,XE ĐẸP DETAILING - ĐỘ XE Ô TÔ - ĐỖ XE 24/24 - RỬA XE,2,0.748584,0.657623,1.217626212308896,,,very_close|high_rating|popular|trusted|open_now|service_rich|exterior_wash|detailing
imp_evt_00003,nearby_q_001,search_evt_0001,user_001,session_001_01,2026-03-22T09:00:06+00:00,nearby,ChIJCQmWVNMvdTERNLWPf_PE3WE,An Khang Detailing - Xưởng chăm xe vui vẻ,3,0.704536,0.482167,2.304096355657788,,,close|high_rating|trusted|open_now|service_rich|exterior_wash|detailing
imp_evt_00004,nearby_q_001,search_evt_0001,user_001,session_001_01,2026-03-22T09:00:08+00:00,nearby,ChIJW4knxqEvdTERhuMXJ4-RYL8,"Tiệm rửa xe, sửa xe, bảo dưỡng xe 2 bánh - TN Detailing-Motorcycle wash",4,0.72066,0.463154,2.4934433410860506,,,close|high_rating|trusted|open_now|service_rich|exterior_wash|detailing
imp_evt_00005,nearby_q_002,search_evt_0002,user_002,session_002_01,2026-03-22T09:07:02+00:00,nearby,ChIJh8yyigPYdDERalJPyL7NpNc,Tiệm Rửa Xe Thành,1,0.545864,0.61041,0.7816441933509384,,,very_close|high_rating|open_now|exterior_wash|car_supported
imp_evt_00006,nearby_q_002,search_evt_0002,user_002,session_002_01,2026-03-22T09:07:04+00:00,nearby,ChIJkYfDXsUndTEREk9eYE2TDi8,Rửa Xe Takashi,2,0.571936,0.482292,2.193895039684231,,,close|high_rating|open_now|exterior_wash|car_supported
imp_evt_00007,nearby_q_003,search_evt_0003,user_003,session_003_01,2026-03-22T09:14:02+00:00,nearby,ChIJL3GiFugpdTER3DjuORNSeRI,Cứu Hộ Xe Máy - Sửa Xe Máy Tại Nhà 24h Minh Thành Motor,1,0.662592,0.444767,4.763645532458589,,,high_rating|trusted|open_now|service_rich|fast_lane|car_supported
imp_evt_00008,nearby_q_004,search_evt_0004,user_004,session_004_01,2026-03-22T09:21:02+00:00,nearby,ChIJ660DJwArdTERaswe-O5w_A4,Tiệm rửa xe ôtô xe máy,1,0.570864,0.51967,2.0731899257630753,,,close|high_rating|open_now|service_rich|exterior_wash|car_supported
imp_evt_00009,nearby_q_004,search_evt_0004,user_004,session_004_01,2026-03-22T09:21:04+00:00,nearby,ChIJwyhdiEsqdTERh06rOjUU_B0,"Tiệm rửa xe, vá lốp ôtô & xe máy Số 1",2,0.646936,0.427224,3.850938763234091,,,close|high_rating|open_now|service_rich|exterior_wash|car_supported
imp_evt_00010,nearby_q_004,search_evt_0004,user_004,session_004_01,2026-03-22T09:21:06+00:00,nearby,ChIJU0GMXwApdTER0nAk4v8nxsw,"Rửa Xe 39 - Ôtô, Xe máy",3,0.470864,0.376669,3.1360635933749106,,,close|high_rating|service_rich|exterior_wash|car_supported
