feature_name,importance_gain,importance_split
rank_position_filled,1533.2041825056076,163
rank_position_missing,331.31654447317123,66
reciprocal_rank_filled,225.47766218334436,131
final_rank_score_filled,149.88786038383842,167
final_rank_score_missing,134.07000732421875,1
longitude_filled,57.24708294868469,173
detour_proxy_filled,42.828364223241806,134
latitude_filled,41.62119563296437,121
distance_km_filled,38.422777868807316,103
base_rank_score_filled,34.44266656041145,131
route_distance_proxy_filled,30.084357522428036,120
trust_score_filled,28.511755596846342,111
review_count_source_filled,16.373591974377632,59
rating_filled,13.823372900485992,50
service_richness_score_filled,11.171923473477364,28
min_rating_filled,11.051923707127571,33
top_3_flag,8.48840594291687,11
service_car_supported,4.0616578832268715,12
radius_km_filled,3.5532350093126297,12
open_and_high_rating_flag,3.234496057033539,10
require_open_now_filled,2.4805190563201904,4
service_motorbike_supported,2.469351913779974,8
require_open_now_missing,1.8467790335416794,5
unclaimed_penalty_filled,1.0476880222558975,3
top_5_flag,0.9709579944610596,3
rating_score_filled,0.8756550997495651,6
review_volume_score_filled,0.7110095918178558,6
high_rating_flag,0.6608893126249313,4
service_fast_lane,0.36389198899269104,2
service_detailing,0.2681789919734001,2
is_open_now_proxy_filled,0.16134600341320038,1
has_destination,0.0,0
is_valid_geo,0.0,0
service_exterior_wash,0.0,0
service_interior_cleaning,0.0,0
service_ceramic,0.0,0
service_ev_safe,0.0,0
route_query_flag,0.0,0
nearby_query_flag,0.0,0
min_rating_missing,0.0,0
radius_km_missing,0.0,0
max_corridor_km_missing,0.0,0
max_corridor_km_filled,0.0,0
latitude_missing,0.0,0
longitude_missing,0.0,0
rating_missing,0.0,0
review_count_source_missing,0.0,0
is_open_now_proxy_missing,0.0,0
rating_score_missing,0.0,0
review_volume_score_missing,0.0,0
trust_score_missing,0.0,0
open_score_missing,0.0,0
open_score_filled,0.0,0
service_richness_score_missing,0.0,0
unclaimed_penalty_missing,0.0,0
base_rank_score_missing,0.0,0
distance_km_missing,0.0,0
route_distance_proxy_missing,0.0,0
detour_proxy_missing,0.0,0
reciprocal_rank_missing,0.0,0
