feature_name,importance_gain,importance_split
lead_time_hours_filled,1231.8284732326865,487
merchant_rank_position_filled,1030.4143455773592,177
merchant_final_rank_score_filled,997.8213658705354,263
review_count_source_filled,802.8276299461722,144
trust_score_filled,749.6223105862737,149
base_rank_score_filled,690.5469946265221,112
rating_filled,541.3973890244961,112
detour_proxy_filled,520.1613775491714,130
route_distance_proxy_filled,507.54936192184687,113
min_rating_filled,420.6114818453789,42
slot_hour_filled,363.7456998080015,93
distance_km_filled,299.8342113420367,113
slot_is_morning,279.71061486005783,55
service_richness_score_filled,199.8822290301323,56
rating_score_filled,150.8651108443737,15
review_volume_score_filled,119.99871881306171,19
hour_of_day,92.45884484052658,17
was_booked_for_query,89.63401037454605,23
radius_km_filled,75.61525312066078,24
service_car_supported,61.862454891204834,14
max_corridor_km_filled,51.31732413172722,19
service_fast_lane,50.070820808410645,4
slot_is_next_day,30.20706468820572,8
slot_position_if_available_filled,23.001766711473465,11
service_detailing,22.90367493033409,12
service_motorbike_supported,22.73842215538025,5
require_open_now_filled,21.445060789585114,7
require_open_now_missing,20.380817115306854,8
open_score_filled,14.592169761657715,3
long_lead_time_flag,5.52337110042572,4
medium_lead_time_flag,3.9676899909973145,1
weekday,0.0,0
is_weekend,0.0,0
has_destination,0.0,0
service_exterior_wash,0.0,0
service_interior_cleaning,0.0,0
service_ceramic,0.0,0
service_ev_safe,0.0,0
was_clicked_for_query,0.0,0
slot_is_same_day,0.0,0
slot_is_weekend,0.0,0
slot_is_business_hour,0.0,0
slot_is_evening,0.0,0
short_lead_time_flag,0.0,0
high_trust_evening_flag,0.0,0
open_and_top_ranked_flag,0.0,0
nearby_query_flag,0.0,0
route_query_flag,0.0,0
min_rating_missing,0.0,0
radius_km_missing,0.0,0
max_corridor_km_missing,0.0,0
rating_missing,0.0,0
review_count_source_missing,0.0,0
is_open_now_proxy_missing,0.0,0
is_open_now_proxy_filled,0.0,0
rating_score_missing,0.0,0
review_volume_score_missing,0.0,0
trust_score_missing,0.0,0
open_score_missing,0.0,0
service_richness_score_missing,0.0,0
base_rank_score_missing,0.0,0
slot_hour_missing,0.0,0
slot_minute_missing,0.0,0
slot_minute_filled,0.0,0
lead_time_hours_missing,0.0,0
slot_position_if_available_missing,0.0,0
merchant_rank_position_missing,0.0,0
merchant_final_rank_score_missing,0.0,0
distance_km_missing,0.0,0
detour_proxy_missing,0.0,0
route_distance_proxy_missing,0.0,0
