slot_event_id,query_id,search_event_id,user_id,session_id,event_ts,search_mode,merchant_id,merchant_name,slot_event_type,slot_id,slot_start_ts,slot_end_ts,slot_rank,slot_selected,booking_event_id
slot_evt_000001,nearby_q_001,search_evt_0001,user_001,session_001_01,2026-03-22T09:00:14+00:00,nearby,ChIJkaXsi8ovdTERV9vqRTJPqNQ,Storedetailing,slot_shown,ChIJkaXsi8ovdTERV9vqRTJPqNQ_slot_1,2026-03-25T09:00:00+00:00,2026-03-25T09:45:00+00:00,1,False,
slot_evt_000002,nearby_q_001,search_evt_0001,user_001,session_001_01,2026-03-22T09:00:18+00:00,nearby,ChIJkaXsi8ovdTERV9vqRTJPqNQ,Storedetailing,slot_shown,ChIJkaXsi8ovdTERV9vqRTJPqNQ_slot_2,2026-03-25T11:00:00+00:00,2026-03-25T11:45:00+00:00,2,False,
slot_evt_000003,nearby_q_001,search_evt_0001,user_001,session_001_01,2026-03-22T09:00:22+00:00,nearby,ChIJkaXsi8ovdTERV9vqRTJPqNQ,Storedetailing,slot_shown,ChIJkaXsi8ovdTERV9vqRTJPqNQ_slot_3,2026-03-25T14:00:00+00:00,2026-03-25T14:45:00+00:00,3,False,
slot_evt_000004,nearby_q_001,search_evt_0001,user_001,session_001_01,2026-03-22T09:00:19+00:00,nearby,ChIJR49LHcItdTERIiTJj8DLsa0,XE ĐẸP DETAILING - ĐỘ XE Ô TÔ - ĐỖ XE 24/24 - RỬA XE,slot_shown,ChIJR49LHcItdTERIiTJj8DLsa0_slot_1,2026-03-23T09:00:00+00:00,2026-03-23T09:45:00+00:00,1,False,
slot_evt_000005,nearby_q_001,search_evt_0001,user_001,session_001_01,2026-03-22T09:00:23+00:00,nearby,ChIJR49LHcItdTERIiTJj8DLsa0,XE ĐẸP DETAILING - ĐỘ XE Ô TÔ - ĐỖ XE 24/24 - RỬA XE,slot_shown,ChIJR49LHcItdTERIiTJj8DLsa0_slot_2,2026-03-23T11:00:00+00:00,2026-03-23T11:45:00+00:00,2,False,
slot_evt_000006,nearby_q_001,search_evt_0001,user_001,session_001_01,2026-03-22T09:00:27+00:00,nearby,ChIJR49LHcItdTERIiTJj8DLsa0,XE ĐẸP DETAILING - ĐỘ XE Ô TÔ - ĐỖ XE 24/24 - RỬA XE,slot_shown,ChIJR49LHcItdTERIiTJj8DLsa0_slot_3,2026-03-23T14:00:00+00:00,2026-03-23T14:45:00+00:00,3,False,
slot_evt_000007,nearby_q_001,search_evt_0001,user_001,session_001_01,2026-03-22T09:00:36+00:00,nearby,ChIJR49LHcItdTERIiTJj8DLsa0,XE ĐẸP DETAILING - ĐỘ XE Ô TÔ - ĐỖ XE 24/24 - RỬA XE,slot_selected,ChIJR49LHcItdTERIiTJj8DLsa0_slot_3,2026-03-23T14:00:00+00:00,2026-03-23T14:45:00+00:00,3,True,
slot_evt_000008,nearby_q_002,search_evt_0002,user_002,session_002_01,2026-03-22T09:07:19+00:00,nearby,ChIJkYfDXsUndTEREk9eYE2TDi8,Rửa Xe Takashi,slot_shown,ChIJkYfDXsUndTEREk9eYE2TDi8_slot_1,2026-03-25T09:00:00+00:00,2026-03-25T09:45:00+00:00,1,False,
slot_evt_000009,nearby_q_002,search_evt_0002,user_002,session_002_01,2026-03-22T09:07:28+00:00,nearby,ChIJkYfDXsUndTEREk9eYE2TDi8,Rửa Xe Takashi,slot_selected,ChIJkYfDXsUndTEREk9eYE2TDi8_slot_1,2026-03-25T09:00:00+00:00,2026-03-25T09:45:00+00:00,1,True,
slot_evt_000010,nearby_q_002,search_evt_0002,user_002,session_002_01,2026-03-22T09:07:23+00:00,nearby,ChIJkYfDXsUndTEREk9eYE2TDi8,Rửa Xe Takashi,slot_shown,ChIJkYfDXsUndTEREk9eYE2TDi8_slot_2,2026-03-25T11:00:00+00:00,2026-03-25T11:45:00+00:00,2,False,
slot_evt_000011,nearby_q_002,search_evt_0002,user_002,session_002_01,2026-03-22T09:07:27+00:00,nearby,ChIJkYfDXsUndTEREk9eYE2TDi8,Rửa Xe Takashi,slot_shown,ChIJkYfDXsUndTEREk9eYE2TDi8_slot_3,2026-03-25T14:00:00+00:00,2026-03-25T14:45:00+00:00,3,False,
slot_evt_000012,nearby_q_004,search_evt_0004,user_004,session_004_01,2026-03-22T09:21:24+00:00,nearby,ChIJU0GMXwApdTER0nAk4v8nxsw,"Rửa Xe 39 - Ôtô, Xe máy",slot_shown,ChIJU0GMXwApdTER0nAk4v8nxsw_slot_1,2026-03-24T09:00:00+00:00,2026-03-24T09:45:00+00:00,1,False,
slot_evt_000013,nearby_q_004,search_evt_0004,user_004,session_004_01,2026-03-22T09:21:28+00:00,nearby,ChIJU0GMXwApdTER0nAk4v8nxsw,"Rửa Xe 39 - Ôtô, Xe máy",slot_shown,ChIJU0GMXwApdTER0nAk4v8nxsw_slot_2,2026-03-24T11:00:00+00:00,2026-03-24T11:45:00+00:00,2,False,
slot_evt_000014,nearby_q_004,search_evt_0004,user_004,session_004_01,2026-03-22T09:21:32+00:00,nearby,ChIJU0GMXwApdTER0nAk4v8nxsw,"Rửa Xe 39 - Ôtô, Xe máy",slot_shown,ChIJU0GMXwApdTER0nAk4v8nxsw_slot_3,2026-03-24T14:00:00+00:00,2026-03-24T14:45:00+00:00,3,False,
slot_evt_000015,nearby_q_004,search_evt_0004,user_004,session_004_01,2026-03-22T09:21:41+00:00,nearby,ChIJU0GMXwApdTER0nAk4v8nxsw,"Rửa Xe 39 - Ôtô, Xe máy",slot_selected,ChIJU0GMXwApdTER0nAk4v8nxsw_slot_3,2026-03-24T14:00:00+00:00,2026-03-24T14:45:00+00:00,3,True,
slot_evt_000016,nearby_q_005,search_evt_0005,user_005,session_005_01,2026-03-22T09:28:14+00:00,nearby,ChIJ92uFsuYudTERvyQu9b8g8Ws,Rửa Xe Hiếu,slot_shown,ChIJ92uFsuYudTERvyQu9b8g8Ws_slot_1,2026-03-23T09:00:00+00:00,2026-03-23T09:45:00+00:00,1,False,
slot_evt_000017,nearby_q_005,search_evt_0005,user_005,session_005_01,2026-03-22T09:28:18+00:00,nearby,ChIJ92uFsuYudTERvyQu9b8g8Ws,Rửa Xe Hiếu,slot_shown,ChIJ92uFsuYudTERvyQu9b8g8Ws_slot_2,2026-03-23T11:00:00+00:00,2026-03-23T11:45:00+00:00,2,False,
slot_evt_000018,nearby_q_005,search_evt_0005,user_005,session_005_01,2026-03-22T09:28:22+00:00,nearby,ChIJ92uFsuYudTERvyQu9b8g8Ws,Rửa Xe Hiếu,slot_shown,ChIJ92uFsuYudTERvyQu9b8g8Ws_slot_3,2026-03-23T14:00:00+00:00,2026-03-23T14:45:00+00:00,3,False,
slot_evt_000019,nearby_q_005,search_evt_0005,user_005,session_005_01,2026-03-22T09:28:29+00:00,nearby,ChIJh49VXwQvdTERteVbwQETYQM,Dịch Vụ Rửa Xe 109,slot_shown,ChIJh49VXwQvdTERteVbwQETYQM_slot_1,2026-03-23T09:00:00+00:00,2026-03-23T09:45:00+00:00,1,False,
slot_evt_000020,nearby_q_005,search_evt_0005,user_005,session_005_01,2026-03-22T09:28:33+00:00,nearby,ChIJh49VXwQvdTERteVbwQETYQM,Dịch Vụ Rửa Xe 109,slot_shown,ChIJh49VXwQvdTERteVbwQETYQM_slot_2,2026-03-23T11:00:00+00:00,2026-03-23T11:45:00+00:00,2,False,
slot_evt_000021,nearby_q_005,search_evt_0005,user_005,session_005_01,2026-03-22T09:28:37+00:00,nearby,ChIJh49VXwQvdTERteVbwQETYQM,Dịch Vụ Rửa Xe 109,slot_shown,ChIJh49VXwQvdTERteVbwQETYQM_slot_3,2026-03-23T14:00:00+00:00,2026-03-23T14:45:00+00:00,3,False,
slot_evt_000022,nearby_q_005,search_evt_0005,user_005,session_005_01,2026-03-22T09:28:19+00:00,nearby,ChIJ35wD6AIvdTERcdM5ZxvwoYA,Dịch Vụ Rửa Xe A Thuận,slot_shown,ChIJ35wD6AIvdTERcdM5ZxvwoYA_slot_1,2026-03-23T09:00:00+00:00,2026-03-23T09:45:00+00:00,1,False,
slot_evt_000023,nearby_q_005,search_evt_0005,user_005,session_005_01,2026-03-22T09:28:23+00:00,nearby,ChIJ35wD6AIvdTERcdM5ZxvwoYA,Dịch Vụ Rửa Xe A Thuận,slot_shown,ChIJ35wD6AIvdTERcdM5ZxvwoYA_slot_2,2026-03-23T11:00:00+00:00,2026-03-23T11:45:00+00:00,2,False,
slot_evt_000024,nearby_q_005,search_evt_0005,user_005,session_005_01,2026-03-22T09:28:27+00:00,nearby,ChIJ35wD6AIvdTERcdM5ZxvwoYA,Dịch Vụ Rửa Xe A Thuận,slot_shown,ChIJ35wD6AIvdTERcdM5ZxvwoYA_slot_3,2026-03-23T14:00:00+00:00,2026-03-23T14:45:00+00:00,3,False,
slot_evt_000025,nearby_q_005,search_evt_0005,user_005,session_005_01,2026-03-22T09:28:34+00:00,nearby,ChIJy7RnTAAvdTERuHa74kwoWG0,"Bãi Giữ Xe, Rửa Xe Ôtô 635 Nguyễn Trãi",slot_shown,ChIJy7RnTAAvdTERuHa74kwoWG0_slot_1,2026-03-23T09:00:00+00:00,2026-03-23T09:45:00+00:00,1,False,
slot_evt_000026,nearby_q_005,search_evt_0005,user_005,session_005_01,2026-03-22T09:28:43+00:00,nearby,ChIJy7RnTAAvdTERuHa74kwoWG0,"Bãi Giữ Xe, Rửa Xe Ôtô 635 Nguyễn Trãi",slot_selected,ChIJy7RnTAAvdTERuHa74kwoWG0_slot_1,2026-03-23T09:00:00+00:00,2026-03-23T09:45:00+00:00,1,True,booking_evt_00003
slot_evt_000027,nearby_q_005,search_evt_0005,user_005,session_005_01,2026-03-22T09:28:38+00:00,nearby,ChIJy7RnTAAvdTERuHa74kwoWG0,"Bãi Giữ Xe, Rửa Xe Ôtô 635 Nguyễn Trãi",slot_shown,ChIJy7RnTAAvdTERuHa74kwoWG0_slot_2,2026-03-23T11:00:00+00:00,2026-03-23T11:45:00+00:00,2,False,
