record_key,district,page_start,page_position,position,title,type,type_id,type_ids,types,address,phone,website,latitude,longitude,rating,reviews,price,open_state,hours,friday_hours,place_id,provider_id,data_id,data_cid,place_link,reviews_link,photos_link,thumbnail,serpapi_thumbnail,unclaimed_listing,service_options_on_site,query,local_results_state,search_id,google_maps_url,json_endpoint,hl,gl,operating_hours_json,service_options_json,raw_place_json,crawl_date
ChIJLY0S9hcvdTERlVMjCPf-yog,quan 1,0,1,1,Rửa Xe Thanh Bình,Bãi rửa xe ô tô,car_wash,car_wash,Bãi rửa xe ô tô,"210 Nguyễn Trãi, Phường Phạm Ngũ Lão, Quận 1, Hồ Chí Minh 74000, Việt Nam",N/A,N/A,"10,7672983","106,6883697","3,4",104,N/A,N/A,N/A,N/A,ChIJLY0S9hcvdTERlVMjCPf-yog,/g/11j00s389c,0x31752f17f6128d2d:0x88cafef708235395,9856971071400661909,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=vi&place_id=ChIJLY0S9hcvdTERlVMjCPf-yog,https://serpapi.com/search.json?data_id=0x31752f17f6128d2d%3A0x88cafef708235395&engine=google_maps_reviews&hl=vi,https://serpapi.com/search.json?data_id=0x31752f17f6128d2d%3A0x88cafef708235395&engine=google_maps_photos&hl=vi,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerJyDM4EzB6jEWw-HJfzBR-Hpni6t3estTtexusaYGzzXaSLjykay1ql3zn3Ai3xQcN_vnqc12dk4-5T5sLHTP0efzPIfJIXQBCmuWFNpS7k-CRHxhtUyPXY7GoFdqBfbyEZ493=w122-h92-k-no,https://serpapi.com/images/url/vqjHPXicBcHxEoEwHADgJ_pJLRx3_qjEdLgQ4h-XWUXZypba3s9DeBvf9_vmUlZiYhhljnoZ51lJG0HfhDNJmewR_jKySgARIAwHH52WvgM1W9u-dodP_9QCDlLt7gBX7DGUiAoZSdo1IjkvtI6T_eqpikSZdYk0Q84DdVuyuX5YTUzrXtgwiAZihaOwT1MdLtNgGW9d79Wc5ptqPyrA2-EulwcVxufRgs_vtZvelH-xx2jampYF-diCAhj_A0yqRWE,TRUE,,rua xe oto quan 1 ho chi minh,Results for exact spelling,69bdf96f66bc78e67142c518,https://www.google.com/maps/search/rua+xe+oto+quan+1+ho+chi+minh//?hl=vi&gl=vn,https://serpapi.com/searches/33uf-j-W9LHLWYXpM9NV0A/69bdf96f66bc78e67142c518.json,vi,vn,,,,2026-03-21T01:50:47.193Z
ChIJ8-9NJSkvdTERlVY0bucvCek,quan 1,0,2,2,RỬA XE - BÁNH XÈO-BÁNH KHỌT -BỘT CHIÊN,Bãi rửa xe ô tô,car_wash,car_wash,Bãi rửa xe ô tô,"216 Bis Cô Giang, P. Phú Thuận, Quận 1, Hồ Chí Minh, Việt Nam",+84 909 787 808,N/A,"10,7612135","106,6926105","1,5",4,N/A,Đang mở cửa · Đóng cửa vào 18:00,Đang mở cửa · Đóng cửa vào 18:00,08:00–18:00,ChIJ8-9NJSkvdTERlVY0bucvCek,/g/11jlhj0hy0,0x31752f29254deff3:0xe9092fe76e345695,16792005356660479637,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=vi&place_id=ChIJ8-9NJSkvdTERlVY0bucvCek,https://serpapi.com/search.json?data_id=0x31752f29254deff3%3A0xe9092fe76e345695&engine=google_maps_reviews&hl=vi,https://serpapi.com/search.json?data_id=0x31752f29254deff3%3A0xe9092fe76e345695&engine=google_maps_photos&hl=vi,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepbGsYAxAfW5LRrhlu4jI-K6mxtSvgpjuO_zX9sHiSaLCWGdRvYOOlZT1veobyE7Okq4UnlHZJbgK3p4t8fWdmwdJUA51tMI3VVVG2MApN7ZqmK8AHveuVIMvm5DZAttUjEcmOlIg=w80-h142-k-no,https://serpapi.com/images/url/TzwznnicBcFRboIwGADgE1WGwGRLfGjUACJrolKUFyNQy7Cl1f4Utwt6Bm_j972eLYA2344jWm_CleKCDYbda9UD62FSK-lwbVBtkHFwTPHIdBWZI37gSxFstvdWDH6XoPRTPmBnue4Gcvo_fJn4d3feLIqo2dojIaLcu5ap6m81I9ebn_ciLtcVTz3tQ3gpGjk26xwHLmSJRymNphnWP7PyJtMQx5YNNMmsDJYlBsi7VS2JSPh8DD9Q6_pTdEW9egP1e0Zz,TRUE,,rua xe oto quan 1 ho chi minh,Results for exact spelling,69bdf96f66bc78e67142c518,https://www.google.com/maps/search/rua+xe+oto+quan+1+ho+chi+minh//?hl=vi&gl=vn,https://serpapi.com/searches/33uf-j-W9LHLWYXpM9NV0A/69bdf96f66bc78e67142c518.json,vi,vn,,,,2026-03-21T01:50:47.193Z
ChIJF__RpyIvdTERr0GDH_1gh1c,quan 1,0,3,3,Rửa xe bọt tuyết THU HƯƠNG,Bãi rửa xe ô tô,car_wash,car_wash,Bãi rửa xe ô tô,"32 Nam Quốc Cang, Phường Phạm Ngũ Lão, Quận 1, Hồ Chí Minh, Việt Nam",+84 913 982 871,N/A,"10,7682258","106,6872649","2,7",15,N/A,Đang mở cửa · Đóng cửa vào 18:30,Đang mở cửa · Đóng cửa vào 18:30,07:00–18:30,ChIJF__RpyIvdTERr0GDH_1gh1c,/g/11f3wt44y8,0x31752f22a7d1ff17:0x578760fd1f8341af,6307116443427357103,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=vi&place_id=ChIJF__RpyIvdTERr0GDH_1gh1c,https://serpapi.com/search.json?data_id=0x31752f22a7d1ff17%3A0x578760fd1f8341af&engine=google_maps_reviews&hl=vi,https://serpapi.com/search.json?data_id=0x31752f22a7d1ff17%3A0x578760fd1f8341af&engine=google_maps_photos&hl=vi,https://lh3.googleusercontent.com/gps-cs-s/AHVAweq3QDy9rp6O3hvWkqcfMnkxr4cg-WljQoj0QgRgOQSlYnXdMyI6Doez_iX6f3jgyKsK_In-fAUKtCYOjaVWvcBatndaxwixFBS6lfRVrd6__2OJNUcwG_XKHlXg0N6xbfdDTEsaTkF9rq2H=w122-h92-k-no,https://serpapi.com/images/url/zFInu3icBcFLjoIwAADQE1W0TJpg4gJFB4cowQ-fVcOUtgi1hbYKeEcP4G187_Oure3M0nFE7c64UlzQh6GaKGmptDOi7g7vDCAGGMcPU3-gvZsEk6c7FLv1M2t7wg6yHfUP4SATTaKaecJPPE7OopB5dZj2KFD0hW85Ym7Dp8hEeC8B86-R3RRxU6bZk6xLK6tyHG7jbn1Ggp1SXSGMYfx3vJLhF-dRKHI-P6Lxn1XBZWvKS7vzdA_D1bCAENQeBC2Q6gvxFUlb,FALSE,,rua xe oto quan 1 ho chi minh,Results for exact spelling,69bdf96f66bc78e67142c518,https://www.google.com/maps/search/rua+xe+oto+quan+1+ho+chi+minh//?hl=vi&gl=vn,https://serpapi.com/searches/33uf-j-W9LHLWYXpM9NV0A/69bdf96f66bc78e67142c518.json,vi,vn,,,,2026-03-21T01:50:47.193Z
ChIJZRPiJj0vdTERwmg64T-CDAY,quan 1,0,4,4,Dịch Vụ Rửa Xe Gia Phát,Bãi rửa xe ô tô,car_wash,car_wash,Bãi rửa xe ô tô,"114 Bùi Thị Xuân, Quận 1, Hồ Chí Minh, Việt Nam",+84 794 798 879,N/A,"10,7705597","106,6890324",0,0,N/A,N/A,N/A,N/A,ChIJZRPiJj0vdTERwmg64T-CDAY,/g/11y6cgvcl,0x31752f3d26e21365:0x60c823fe13a68c2,435866474821347522,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=vi&place_id=ChIJZRPiJj0vdTERwmg64T-CDAY,https://serpapi.com/search.json?data_id=0x31752f3d26e21365%3A0x60c823fe13a68c2&engine=google_maps_reviews&hl=vi,https://serpapi.com/search.json?data_id=0x31752f3d26e21365%3A0x60c823fe13a68c2&engine=google_maps_photos&hl=vi,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=SNd__88RQddrUHuWo7Ti-w&cb_client=search.gws-prod.gps&w=80&h=92&yaw=313.6183&pitch=0&thumbfov=100,https://serpapi.com/images/url/s2RTr3icHc1NCgIhGADQ27gbfxLKAmnbKuiPloOjph84o6gz1mk6V7cpusB7n7evNZUdIaVma-sCtiV42lC6pLCL0QWrEhSs40gWRqqfx2FSEPZJTRGMvBxN3wtxPhmTb4f5HjdX6BrSQ68D2KnKYlXWHrv2E3M02KWCmhQUebldoZdqkjOO10xwlKBqLyn6J4-4SEbpF0DPOVA,TRUE,,rua xe oto quan 1 ho chi minh,Results for exact spelling,69bdf96f66bc78e67142c518,https://www.google.com/maps/search/rua+xe+oto+quan+1+ho+chi+minh//?hl=vi&gl=vn,https://serpapi.com/searches/33uf-j-W9LHLWYXpM9NV0A/69bdf96f66bc78e67142c518.json,vi,vn,,,,2026-03-21T01:50:47.193Z
ChIJ9721s2s7dTERy0AnDBTSPRQ,quan 1,0,5,5,Rửa xe 24h CAR-E,Bãi rửa xe ô tô,car_wash,car_wash,Bãi rửa xe ô tô,"11 Đ. Số 1, Bình Khánh, Quận 2, Hồ Chí Minh, Việt Nam",+84 986 658 659,https://caretuanhung.com/pages/dich-vu-rua-xe-o-to,"10,7849511","106,730294","4,4",66,N/A,Đang mở cửa · Đóng cửa vào 23:30,Đang mở cửa · Đóng cửa vào 23:30,05:30–23:30,ChIJ9721s2s7dTERy0AnDBTSPRQ,/g/11j8_2gpjd,0x31753b6bb3b5bdf7:0x143dd2140c2740cb,1458552837882986699,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=vi&place_id=ChIJ9721s2s7dTERy0AnDBTSPRQ,https://serpapi.com/search.json?data_id=0x31753b6bb3b5bdf7%3A0x143dd2140c2740cb&engine=google_maps_reviews&hl=vi,https://serpapi.com/search.json?data_id=0x31753b6bb3b5bdf7%3A0x143dd2140c2740cb&engine=google_maps_photos&hl=vi,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoaKOYjDOx2sKwNDZ8FMIXmHZbtCQR9xHD6cuGs0lxMGwQWFVWsp2emRYFbj63WR5cikUMvXvSmlx9gqKd7NLfbyiGqqMBnc7hPguKZHy0iyYRSGQcXnw_FAepiZOk8FzMItXJKYp7MBV4=w122-h92-k-no,https://serpapi.com/images/url/FfH0dnicBcFLUoMwAADQE6XU1JbijAtaJlBjitCR38aRGAMFkmBCAz2jF_A2vvf32xij9JPj9M1mxaXkPZs0-6FSGCbMisrB4UoDqoF2_CjzLZOfOC6vQTxDje05qPaInIohqmpzTFJvjoIdnUK97mcS2iRHWa4VZENaovq62-TplrbdO7kVt8vQzx4f8Zd7fv2ulzYcR3IQ1G3e-ISraFm3S5lewoQWwn4gn6m2irs9upOTKV5wqVxyyB6f7QOEoPEg6ICQ_zIqSCY,FALSE,TRUE,rua xe oto quan 1 ho chi minh,Results for exact spelling,69bdf96f66bc78e67142c518,https://www.google.com/maps/search/rua+xe+oto+quan+1+ho+chi+minh//?hl=vi&gl=vn,https://serpapi.com/searches/33uf-j-W9LHLWYXpM9NV0A/69bdf96f66bc78e67142c518.json,vi,vn,,,,2026-03-21T01:50:47.193Z
ChIJy4ri9BYvdTERKp4-ZYuc_CA,quan 1,0,6,6,Dịch Vụ Rửa Xe Hưng Đạo,Bãi rửa xe ô tô,car_wash,car_wash,Bãi rửa xe ô tô,"136 Trần Hưng Đạo, Phường Phạm Ngũ Lão, Quận 1, Hồ Chí Minh, Việt Nam",N/A,N/A,"10,7648984","106,6923791",0,0,N/A,N/A,N/A,N/A,ChIJy4ri9BYvdTERKp4-ZYuc_CA,/g/11xh3xx01,0x31752f16f4e28acb:0x20fc9c8b653e9e2a,2376946825857769002,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=vi&place_id=ChIJy4ri9BYvdTERKp4-ZYuc_CA,https://serpapi.com/search.json?data_id=0x31752f16f4e28acb%3A0x20fc9c8b653e9e2a&engine=google_maps_reviews&hl=vi,https://serpapi.com/search.json?data_id=0x31752f16f4e28acb%3A0x20fc9c8b653e9e2a&engine=google_maps_photos&hl=vi,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=1UZn5PWBWtsqr7ldIy640Q&cb_client=search.gws-prod.gps&w=80&h=92&yaw=36.042603&pitch=0&thumbfov=100,https://serpapi.com/images/url/z_f7jXicHc1LDsIgFADA27ATqK31kxATd-50YZq4MZQ-gYQCwrPY23gtb6PxAjOft0GMecdYxgSAk4US7QtcXkRJdQjagYw2UxVGNlUMzXPsvbRuH6UPdhDV5epXp-7QYX6ktRuOc9vwM1H9TTkLHkUGmZShuvzEFAaqYyZFbDgxYrsksyyibilvli2vSbSojODkv9zDJCrOv2SGOUE,TRUE,,rua xe oto quan 1 ho chi minh,Results for exact spelling,69bdf96f66bc78e67142c518,https://www.google.com/maps/search/rua+xe+oto+quan+1+ho+chi+minh//?hl=vi&gl=vn,https://serpapi.com/searches/33uf-j-W9LHLWYXpM9NV0A/69bdf96f66bc78e67142c518.json,vi,vn,,,,2026-03-21T01:50:47.193Z
ChIJpwpSMJ8pdTERB-V-jQTgYcM,quan 1,0,7,7,Tiệm rửa xe bình dân,Bãi rửa xe ô tô,car_wash,car_wash,Bãi rửa xe ô tô,"119/7 Điện Biên Phủ, Đa Kao, Quận 1, Hồ Chí Minh, Việt Nam",N/A,N/A,"10,792736","106,6990129","3,2",16,N/A,Đang mở cửa,Đang mở cửa,N/A,ChIJpwpSMJ8pdTERB-V-jQTgYcM,/g/11fnsl089q,0x3175299f30520aa7:0xc361e0048d7ee507,14078780220295275783,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=vi&place_id=ChIJpwpSMJ8pdTERB-V-jQTgYcM,https://serpapi.com/search.json?data_id=0x3175299f30520aa7%3A0xc361e0048d7ee507&engine=google_maps_reviews&hl=vi,https://serpapi.com/search.json?data_id=0x3175299f30520aa7%3A0xc361e0048d7ee507&engine=google_maps_photos&hl=vi,https://lh3.googleusercontent.com/gps-cs-s/AHVAwep_9epIkLutfdC8LPuaV8mN7CjPAxXnZrw-RpiNFQOQZb7coD8_Rgv_sDGnk7D3QEJg7AwiKpKiTRcrWWsbm6uEoJDB_J0N2gXkTw1dAYijkun-KhGpDzSbvOF7pYV8Y_sDZyr-=w122-h92-k-no,https://serpapi.com/images/url/7BWJPXicDcxdkoIgAADgE5FlM4s1sw8U_aw2puZY-uKsxKKRwAjE1v06RLep7wDf69kao_Tc867tdMSkZFdqNR2IFIYKMyKy95jSgGigPbQtkKOqnlH1w3fW_J2XwS6xv0XQx3B5SdD_SVSDA5nq4nW6T6sGEomDOmO3WuON4BBP01XIIHJdpKIuz8hwPOqm_7IrGeJFHY5jn5147iZnVHYXbgWI2o3Cj0Nz26-hKoug_EzVfQDfbuL7oJ35gAMh3zTvRYs,TRUE,,rua xe oto quan 1 ho chi minh,Results for exact spelling,69bdf96f66bc78e67142c518,https://www.google.com/maps/search/rua+xe+oto+quan+1+ho+chi+minh//?hl=vi&gl=vn,https://serpapi.com/searches/33uf-j-W9LHLWYXpM9NV0A/69bdf96f66bc78e67142c518.json,vi,vn,,,,2026-03-21T01:50:47.193Z
ChIJo-loLQAvdTERL1h8n83gHMk,quan 1,0,8,8,Rửa xe oto - xe máy Quận 4,Bãi rửa xe ô tô,car_wash,car_wash,Bãi rửa xe ô tô,"131 Nguyễn Khoái, Phường 1, Quận 4, Hồ Chí Minh 700000, Việt Nam",+84 932 997 887,N/A,"10,7554852","106,6928007",2,2,N/A,Mở cả ngày,Mở cả ngày,Mở cửa cả ngày,ChIJo-loLQAvdTERL1h8n83gHMk,/g/11wqmyyg1p,0x31752f002d68e9a3:0xc91ce0cd9f7c582f,14491704874720057391,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=vi&place_id=ChIJo-loLQAvdTERL1h8n83gHMk,https://serpapi.com/search.json?data_id=0x31752f002d68e9a3%3A0xc91ce0cd9f7c582f&engine=google_maps_reviews&hl=vi,https://serpapi.com/search.json?data_id=0x31752f002d68e9a3%3A0xc91ce0cd9f7c582f&engine=google_maps_photos&hl=vi,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqcLfzRyWfrMtzLQ0j3bCqFtbMgB8WEZxLNwD7SVHOTVMc93INaOx-of9RNVQZuNRyiBj7O9Vq_saa8aGOuB9vyHDW9PZ6m9OUAbZtpC2wtewYZXyJ4Sf33wx36cdZr_JYAvr-6Mw=w80-h106-k-no,https://serpapi.com/images/url/a56cx3icBcFRboIwAADQE1VwXZAu2QfIFAnQia6M_hioBWRKgRYLXtAz7Da-9_-slerkh2Fca7iohKiufJR8YKJVvFULJm5G1UnAJJCG4xNH856F5SOZ03KI1CPcmw0s1v1GFVHl2ukXncJYe6sD8fGRRAzBXZzjCYgSJTHZ0zFO5ovbrDAi_UnmuZ1v8eii--x7Kfqm1g3hH6egqlu_acV1Rn_n4P1QQqgnaLEzHU5B5twHYEX6U9smqJemBf5AK16hWkWc,FALSE,,rua xe oto quan 1 ho chi minh,Results for exact spelling,69bdf96f66bc78e67142c518,https://www.google.com/maps/search/rua+xe+oto+quan+1+ho+chi+minh//?hl=vi&gl=vn,https://serpapi.com/searches/33uf-j-W9LHLWYXpM9NV0A/69bdf96f66bc78e67142c518.json,vi,vn,,,,2026-03-21T01:50:47.193Z
ChIJ9xOW4RErdTERn0I4o_CR9J0,quan 1,0,9,9,Tổng Kho Thiết Bị Rửa Xe Hồ Chí Minh - Miền Nam,Bãi rửa xe ô tô,car_wash,car_wash,Bãi rửa xe ô tô,"Tân Thới Nhất, Quận 12, Hồ Chí Minh 70000, Việt Nam",+84 983 690 096,https://tearu.vn/thiet-bi-rua-xe-o-to/,"10,8274603","106,6094519","4,9",9,N/A,Đang mở cửa · Đóng cửa vào 22:00,Đang mở cửa · Đóng cửa vào 22:00,07:30–22:00,ChIJ9xOW4RErdTERn0I4o_CR9J0,/g/11sx50mm66,0x31752b11e19613f7:0x9df491f0a338429f,11381882620988637855,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=vi&place_id=ChIJ9xOW4RErdTERn0I4o_CR9J0,https://serpapi.com/search.json?data_id=0x31752b11e19613f7%3A0x9df491f0a338429f&engine=google_maps_reviews&hl=vi,https://serpapi.com/search.json?data_id=0x31752b11e19613f7%3A0x9df491f0a338429f&engine=google_maps_photos&hl=vi,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepIdlD6XRLQ5Dy2Z78dGOgy2kL1z5jG1SdFsseh4j5I6lezSXIusNZMPbi1hfn6nE8tNZSpM5UozF3dbJLONLr5CLJJKuZhOyFtBk4h9WBUbmZ5JGjNTFgshIpULQDnQu67cYWNOg=w122-h92-k-no,https://serpapi.com/images/url/trY3mnicBcFRboIwGADgE1VCtahL9qAiCKtFhkzXR6C2AraNf4mBC3qG3Wbf9_dWzln48LxezWfSGNmLAcSzNtoJ7Wa1eXjSAqoBgbc5_GxewiZNHwbXb5qTcMR8uWriTI64o_5E2tgvmghAqEVLkqAXU3FNBmD8eKruvrrpQO9XjvHCHklppmjeVCnNGH2SHU3Tr4GrbIzctluo9WVbVg9O0rhl50iCSmxJ81DnQ7Csfy8sk58vH2Ok1hh1SJt_MBhEvw,FALSE,,rua xe oto quan 1 ho chi minh,Results for exact spelling,69bdf96f66bc78e67142c518,https://www.google.com/maps/search/rua+xe+oto+quan+1+ho+chi+minh//?hl=vi&gl=vn,https://serpapi.com/searches/33uf-j-W9LHLWYXpM9NV0A/69bdf96f66bc78e67142c518.json,vi,vn,,,,2026-03-21T01:50:47.193Z
ChIJocSD1MAodTERy3XameV2IcM,quan 1,0,10,10,Rửa Xe Bi,Bãi rửa xe ô tô,car_wash,car_wash,Bãi rửa xe ô tô,"3 Nguyễn Huy Lượng, Phường 14, Bình Thạnh, Hồ Chí Minh, Việt Nam",N/A,N/A,"10,8057929","106,6972812","3,6",83,N/A,Đang mở cửa · Đóng cửa vào 17:00,Đang mở cửa · Đóng cửa vào 17:00,08:00–17:00,ChIJocSD1MAodTERy3XameV2IcM,/g/11btrsdtmy,0x317528c0d483c4a1:0xc32176e599da75cb,14060650240128218571,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=vi&place_id=ChIJocSD1MAodTERy3XameV2IcM,https://serpapi.com/search.json?data_id=0x317528c0d483c4a1%3A0xc32176e599da75cb&engine=google_maps_reviews&hl=vi,https://serpapi.com/search.json?data_id=0x317528c0d483c4a1%3A0xc32176e599da75cb&engine=google_maps_photos&hl=vi,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoqZn1PDceR-af8JXGA_VXMnVWUvdVDYD5KJVCPhFa7ArWdIRFcZq7gL2DCGoexT0eqkiCvB6tXchI-RIAkh5WRFxFQBcNWgbMXMWHtr9ow7S9C-N-1TjIk7Ph1oYnvnNsm7Z8Agw=w163-h92-k-no,https://serpapi.com/images/url/egndo3icBcFBcoIwFADQE30pOhhxposIg6LCULQJsulojEmL5guJ4A09g7fpe--Xdu5u55531ZORQlRX-bCyE2icNG4k8OapuwVhwXp0xeggsa2NX8RClnC8zNbVkv6wKjOMf_dnFh_iYLNmUaGTI6EdP6dlIuqWqO04jpYon_sP2Ta_Ub-YukroFMqUNjrgZfJMvhYi5-qUVRlfuS7EgezCCHLw939pQwrt48H0Jrc3Us-oGj4HfzoBHY6hAYP_I4REeA,TRUE,,rua xe oto quan 1 ho chi minh,Results for exact spelling,69bdf96f66bc78e67142c518,https://www.google.com/maps/search/rua+xe+oto+quan+1+ho+chi+minh//?hl=vi&gl=vn,https://serpapi.com/searches/33uf-j-W9LHLWYXpM9NV0A/69bdf96f66bc78e67142c518.json,vi,vn,,,,2026-03-21T01:50:47.193Z
