index,title,address,province,district,stations,traffic,status,station_types,latitude,longitude,google_maps,crawl_date,source
1,ESKY CORP,"19 Trương Định, phường Xuân Hòa, Hồ Chí Minh",Hồ Chí Minh,1,01 trụ AC 22 kW,Lưu lượng sạc 32.000 lần / năm,Đang triển khai,AC,"10,776281","106,691307","https://www.google.com/maps/search/?api=1&query=10.776281,106.691307",2026-03-21T15:30:51.825Z,eSKYCorp Map API
2,Hoàng Long Tropical - Farmstay,"Thôn Dân Cường, Xã Hàm Thạnh, Huyện Hàm Thuận Nam",Bình Thuận,Hàm Thuận Nam,01 trụ DC 60 kW,Lưu lượng sạc 32.000 lần / năm,Đang hoạt động,DC,"11,003633","107,929596","https://www.google.com/maps/search/?api=1&query=11.003633,107.929596",2026-03-21T15:30:51.826Z,eSKYCorp Map API
3,Dalat Palace Golf Club,"02 Trần Nhân Tông, Phường 8, Tp.Đà Lạt",Lâm Đồng,Đà Lạt,Đang cập nhật,Lưu lượng sạc 32.000 lần / năm,Đang triển khai,,"11,952483","108,443382","https://www.google.com/maps/search/?api=1&query=11.952483,108.443382",2026-03-21T15:30:51.826Z,eSKYCorp Map API
4,Khách sạn Hoàng Long,"222 Tôn Đức Thắng, Phường Phú Thuỷ, Lâm Đồng",Bình Thuận,Phan Thiết,02 trụ DC 60 kW,Lưu lượng sạc 32.000 lần / năm,Đang hoạt động,DC,"10,93424","108,111359","https://www.google.com/maps/search/?api=1&query=10.93424,108.111359",2026-03-21T15:30:51.826Z,eSKYCorp Map API
5,Tea Resort Prenn," Quốc lộ 20, Chân Đèo Prenn, Phường 3, Tp. Đà Lạt",Lâm Đồng,Đà Lạt,"01 trụ DC 360 kW, 04 trụ AC 22 kW",Lưu lượng sạc 32.000 lần / năm,Đang hoạt động,"DC, AC","11,873867","108,468643","https://www.google.com/maps/search/?api=1&query=11.873867,108.468643",2026-03-21T15:30:51.826Z,eSKYCorp Map API
6,Khách sạn Dalat Palace 1,"02 Trần Phú, Phường 3, Thành phố Đà Lạt",Lâm Đồng,Đà Lạt,"01 trụ DC 120 kW, 01 trụ DC 60 kW, 02 trụ AC 22 kW",Lưu lượng sạc 32.000 lần / năm,Đang hoạt động,"AC, DC","11,938648","108,440109","https://www.google.com/maps/search/?api=1&query=11.938648,108.440109",2026-03-21T15:30:51.826Z,eSKYCorp Map API
7,Costamigo Phan Thiết,"DT719B – Lạc Long Quân trục đường ven biển xã Tiến Thành, Tp.Phan Thiết",Bình Thuận,Phan Thiết,"01 trụ DC 360 kW, 04 trụ AC 22 kW",Lưu lượng sạc 32.000 lần / năm,Đang hoạt động,"AC, DC","10,7731","108,020897","https://www.google.com/maps/search/?api=1&query=10.7731,108.020897",2026-03-21T15:30:51.826Z,eSKYCorp Map API
8,Phú Gia Bảo Lộc,"Mặt tiền Quốc lộ 20, Xã Lộc Châu, Thành Phố Bảo Lộc",Lâm Đồng,Bảo Lộc,"01 trụ DC 120 kW, 01 trụ DC 60 kW",Lưu lượng sạc 32.000 lần / năm,Đang hoạt động,DC,"11,521267","107,764259","https://www.google.com/maps/search/?api=1&query=11.521267,107.764259",2026-03-21T15:30:51.826Z,eSKYCorp Map API
9,Tea Connect,"Quốc lộ 20, chân đèo Bảo Lộc, Đạ Huoai",Lâm Đồng,Đạ Huoai,"01 trụ DC 120 kW, 01 trụ DC 60 kW",Lưu lượng sạc 32.000 lần / năm,Đang hoạt động,DC,"11,417703","107,673065","https://www.google.com/maps/search/?api=1&query=11.417703,107.673065",2026-03-21T15:30:51.826Z,eSKYCorp Map API
10,Lagoona Bình Châu Resort Village,"HH84+CRQ, Đường Ven Biển, Xã Bình Châu, Huyện Xuyên Mộc",Bà Rịa - Vũng Tàu,Xuyên Mộc,Đang cập nhật,Lưu lượng sạc 32.000 lần / năm,Đang triển khai,,"10,567506","107,55526","https://www.google.com/maps/search/?api=1&query=10.567506,107.55526",2026-03-21T15:30:51.826Z,eSKYCorp Map API
